actor,movie_or_TV_name
Gabriel Luna,Terminator: Dark Fate
Gabriel Luna,A Little Late with Lilly Singh
Gabriel Luna,"Love, Death & Robots"
Gabriel Luna,Transpecos
Gabriel Luna,Harley and the Davidsons
Gabriel Luna,Swell
Gabriel Luna,Wicked City
Murray Bartlett,The Tonight Show Starring Jimmy Fallon
Murray Bartlett,Looking
Gabriel Luna,Freeheld
Gabriel Luna,Gravy
Gabriel Luna,Rosewood
Gabriel Luna,Matador
Yayu A.W. Unru,Mangkujiwo 2
Yayu A.W. Unru,Jamojaya
Yayu A.W. Unru,The Last of Us
Yayu A.W. Unru,Deadly Love Poem
Yayu A.W. Unru,Ketua BEM and His Secret Wife
Yayu A.W. Unru,Until Tomorrow
Yayu A.W. Unru,Drama Ratu Drama
Yayu A.W. Unru,Ivanna
Christine Hakim,The Last of Us
Christine Hakim,Sri Asih
Christine Hakim,Just Mom
Christine Hakim,Tris
Murray Bartlett,Kingston Avenue
Murray Bartlett,Girl Most Likely
Murray Bartlett,August
Murray Bartlett,Needle
Murray Bartlett,Boys On Film 4: Protect Me From What I Want
Murray Bartlett,White Collar
Murray Bartlett,Flight of the Conchords
Murray Bartlett,headLand
Murray Bartlett,Postmortem
Murray Bartlett,Jimmy Kimmel Live!
Murray Bartlett,Farscape
Murray Bartlett,Half Mongrel
Murray Bartlett,The Beast
Murray Bartlett,Police Rescue
Murray Bartlett,The Flying Doctors
Sharon Crandall,The Last of Us
Sharon Crandall,Christmas at the Golden Dragon
Sharon Crandall,Romance In Style
Sharon Crandall,Pillow Talk
Sharon Crandall,Christmas Takes Flight
Sharon Crandall,A Clüsterfünke Christmas
Sharon Crandall,Turner & Hooch
Sharon Crandall,Aurora Teagarden Mysteries: How to Con A Con
Sharon Crandall,The Christmas Doctor
Sharon Crandall,Shall We Play?
Sharon Crandall,The Kid Detective
Sharon Crandall,Welcome to Marwen
Sharon Crandall,Christmas on Holly Lane
Sharon Crandall,Til Ex Do Us Part
Philip Prajoux,The Last of Us
Philip Prajoux,Time for Me to Come Home for Christmas
Philip Prajoux,A Whirlwind Wedding
Philip Prajoux,Debris
Philip Prajoux,Picture Perfect Mysteries: Exit Stage Death
Philip Prajoux,The Murders
Philip Prajoux,Winter's Dream
Philip Prajoux,Riverdale
Philip Prajoux,Timeless
Philip Prajoux,Hello Destroyer
Philip Prajoux,Supergirl
Philip Prajoux,The Rise of the Krays
Philip Prajoux,Green Briefs
Philip Prajoux,Kimchi Fried Dumplings
Gabriel Luna,Balls Out
Gabriel Luna,True Detective
Gabriel Luna,Marvel's Agents of S.H.I.E.L.D.
